Территория преимущественного использования ТС	Категория «A», «М»	Категория «B», «BE» юр. лиц	Категория «B», «BE» физ. лиц, индивид. Предприним.	Категория «B», «BE» Такси	Категория «C», «CE» менее 16 тонн (включит.)	Категория «C», «CE» более 16 тонн	Категория «D», «DE» до 16 мест (включит.)	Категория «D», «DE» более 16 мест	Категория «D», «DE» Маршрутка	Троллейбусы	Трамваи	Тракторы, самоходные дорожностроительные и иные машины
Пенза	694	2058	4324	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4736	7399	2807	4227	2246	2807	7399	4044	2521	899
Псковская область												
Великие Луки	694	2058	4255	7399	2807	4227	2246	2807	7399	4044	2521	899
Псков	694	2058	4255	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4736	7399	2807	4227	2246	2807	7399	4044	2521	899
Ростовская область												
Азов	694	2058	4863	7399	2807	4227	2246	2807	7399	4044	2521	899
Батайск	694	2058	4863	7399	2807	4227	2246	2807	7399	4044	2521	899
Волгодонск, Гуково, Каменск-Шахтинский, Новочеркасск, Новошахтинск, Сальск, Таганрог	694	2058	4500	7399	2807	4227	2246	2807	7399	4044	2521	899
Ростов-на-Дону	694	2058	4500	7399	2807	4227	2246	2807	7399	4044	2521	899
Шахты	694	2058	4863	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Рязанская область												
Рязань	694	2058	4324	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4202	7399	2807	4227	2246	2807	7399	4044	2521	899
Самарская область												
Новокуйбышевск, Сызрань	694	2058	4465	7399	2807	4227	2246	2807	7399	4044	2521	899
Самара	694	2058	4325	7399	2807	4227	2246	2807	7399	4044	2521	899
Тольятти	694	2058	4542	7399	2807	4227	2246	2807	7399	4044	2521	899
Чапаевск	694	2058	4324	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4324	7399	2807	4227	2246	2807	7399	4044	2521	899
Саратовская область												
Балаково, Балашов, Вольск	694	2058	4407	7399	2807	4227	2246	2807	7399	4044	2521	899
Саратов	694	2058	3978	7399	2807	4227	2246	2807	7399	4044	2521	899
Энгельс	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4515	7399	2807	4227	2246	2807	7399	4044	2521	899
Сахалинская область												
Южно-Сахалинск	694	2058	4253	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4324	7399	2807	4227	2246	2807	7399	4044	2521	899
Свердловская область												
Асбест	694	2058	4900	7399	2807	4227	2246	2807	7399	4044	2521	899
Ревда	694	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Березовский, Верхняя Пышма, Первоуральск	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Новоуральск	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Верхняя Салда	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Полевской	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Екатеринбург	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Смоленская область												
Вязьма, Рославль, Сафоново, Ярцево	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Смоленск	694	2058	4736	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4736	7399	2807	4227	2246	2807	7399	4044	2521	899
